Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
686b784dd83dce5967a4d760,62db2644ab0a3a353c0dcb54,APPROVED,Not Applicable,2025-07-07T07:34:17.397000Z,2025-07-07T07:38:56.661000Z,2025-07-07T07:39:02.223000Z,2025-07-07T07:38:57.101499Z,280.0,CP2ZDXDH,4860,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
686b784ec145fe7813179625,60fcb280d58f26d33cb004a6,APPROVED,Not Applicable,2025-07-07T07:33:39.724000Z,2025-07-07T07:39:44.529000Z,2025-07-07T07:41:00.642000Z,2025-07-07T07:39:44.982919Z,365.0,CP2ZDXDH,1500,19,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b7851f7366f37801575bd,676055469b245b53e81358d0,APPROVED,Not Applicable,2025-07-07T07:33:43.459000Z,2025-07-07T07:36:44.403000Z,2025-07-07T07:36:47.960000Z,2025-07-07T07:36:44.793004Z,181.0,CP2ZDXDH,1198,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b7852711a70e24d93d93b,67103aecd3a626ec9024ed2a,APPROVED,Not Applicable,2025-07-07T07:33:48.134000Z,2025-07-07T07:43:28.693000Z,2025-07-07T07:43:59.484000Z,2025-07-07T07:43:29.184070Z,581.0,CP2ZDXDH,834,50,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b7852b014fbf0e02baac6,6658c4239af9537eefdfbcc9,APPROVED,Not Applicable,2025-07-07T07:33:42.388000Z,2025-07-07T07:37:21.943000Z,2025-07-07T07:37:27.495000Z,2025-07-07T07:37:22.354166Z,220.0,CP2ZDXDH,1666,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b7853ff791fc55174f0f8,5cfa3a436e2ee10001c475e4,APPROVED,Not Applicable,2025-07-07T07:33:42.955000Z,2025-07-07T07:38:24.551000Z,2025-07-07T07:38:25.072000Z,2025-07-07T07:38:25.018440Z,282.0,CP2ZDXDH,2847,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b7854965db9da18c40f05,5fb551ccab996500099ab1aa,APPROVED,Not Applicable,2025-07-07T07:34:32.604000Z,2025-07-07T07:37:19.150000Z,2025-07-21T15:20:51.429000Z,2025-07-07T07:37:19.550014Z,167.0,CP2ZDXDH,3593,37,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b7854eb3bbde06f31de4d,65b7b0e4e6fa7d632205b4b6,APPROVED,Not Applicable,2025-07-07T07:33:44.778000Z,2025-07-07T07:37:13.864000Z,2025-07-07T07:37:16.682000Z,2025-07-07T07:37:14.294174Z,210.0,CP2ZDXDH,1718,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b785563759e8278a8482f,59142b45ef024b0001c54c33,APPROVED,Not Applicable,2025-07-07T07:33:59.237000Z,2025-07-07T07:37:39.394000Z,2025-07-07T07:37:41.830000Z,2025-07-07T07:37:39.855026Z,221.0,CP2ZDXDH,4018,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b785656f7f90a15c4e5e5,6704539fe462b87182866f14,APPROVED,Not Applicable,2025-07-07T07:33:48.094000Z,2025-07-07T07:50:34.567000Z,2025-07-07T07:50:36.436000Z,2025-07-07T07:50:35.006523Z,1007.0,CP2ZDXDH,2054,43,Male,White,Spain,United Kingdom,United Kingdom,English,Yes,Full-Time
