Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
686b78b3a6952fc9a82b6dc4,5a9c4b3d35237b000112a00e,APPROVED,Not Applicable,2025-07-07T07:35:18.970000Z,2025-07-07T07:37:34.039000Z,2025-07-21T15:20:44.331000Z,2025-07-07T07:37:34.454078Z,136.0,CP2ZDXDH,704,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b78e4ed29e2c228d47ec6,612adba08b8235b31539c704,APPROVED,Not Applicable,2025-07-07T07:42:48.308000Z,2025-07-07T08:04:47.936000Z,2025-07-07T08:04:49.230000Z,2025-07-07T08:04:48.401034Z,1320.0,CP2ZDXDH,1510,33,Female,White,Hungary,United Kingdom,Hungary,English,No,Full-Time
686b78e8a19b32296e2baadd,65e1e16d9f7eaa10f3454025,APPROVED,Not Applicable,2025-07-07T07:36:16.617000Z,2025-07-07T07:41:03.479000Z,2025-07-07T07:41:14.060000Z,2025-07-07T07:41:03.917693Z,287.0,CP2ZDXDH,1552,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b78e98e72be4e3496775a,65088a9d58b23f5159db722c,APPROVED,Not Applicable,2025-07-07T07:36:16.267000Z,2025-07-07T07:39:40.497000Z,2025-07-07T07:39:46.160000Z,2025-07-07T07:39:41.024929Z,205.0,CP2ZDXDH,790,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b78eac6d6bd7add71f773,666efcfc439d7a5b8e8d7c12,APPROVED,Not Applicable,2025-07-07T07:36:15.993000Z,2025-07-07T07:39:56.394000Z,2025-07-07T07:40:01.550000Z,2025-07-07T07:39:56.791021Z,221.0,CP2ZDXDH,401,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b78eac862ae034330fffe,627a83761978ca1469e6e750,APPROVED,Not Applicable,2025-07-07T07:36:12.187000Z,2025-07-07T07:39:27.772000Z,2025-07-07T07:39:30.067000Z,2025-07-07T07:39:28.205115Z,196.0,CP2ZDXDH,510,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b78eb19113a704d250af7,6774555a297c8a985d7d6c52,APPROVED,Not Applicable,2025-07-07T07:36:14.892000Z,2025-07-07T07:39:02.023000Z,2025-07-21T15:20:44.587000Z,2025-07-07T07:39:02.455502Z,168.0,CP2ZDXDH,248,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b78ec10648e293874ce5a,572bcdbb34b25a0010ddd977,APPROVED,Not Applicable,2025-07-07T07:36:25.202000Z,2025-07-07T07:44:05.925000Z,2025-07-07T07:44:16.499000Z,2025-07-07T07:44:06.354161Z,461.0,CP2ZDXDH,1238,50,Male,White,Germany,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b78ec5e4886106c411ec0,5ef89ca507b0e3040299f1a3,APPROVED,Not Applicable,2025-07-07T07:36:15.256000Z,2025-07-07T07:38:28.403000Z,2025-07-21T15:20:44.865000Z,2025-07-07T07:38:28.872212Z,134.0,CP2ZDXDH,2873,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b78ee2b0615a63e2bfcff,5b1966a168a5ed0001735813,APPROVED,Not Applicable,2025-07-07T07:36:20.474000Z,2025-07-07T07:41:53.981000Z,2025-07-07T07:41:55.379000Z,2025-07-07T07:41:54.428437Z,334.0,CP2ZDXDH,3753,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b78ee4c2e9ef61482c13b,645df5da6a7ba0101a3a2a95,APPROVED,Not Applicable,2025-07-07T07:45:30.306000Z,2025-07-07T08:00:30.311000Z,2025-07-07T08:00:31.054000Z,2025-07-07T08:00:30.751876Z,901.0,CP2ZDXDH,1675,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b78ef2b758289ba64d7f2,5cc492b6155841001a26c24a,APPROVED,Not Applicable,2025-07-07T07:36:19.130000Z,2025-07-07T07:42:34.001000Z,2025-07-07T07:44:35.229000Z,2025-07-07T07:42:34.408566Z,375.0,CP2ZDXDH,2106,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b78f01447b6df79f63a72,61587a47655ef186b4e00648,APPROVED,Not Applicable,2025-07-07T07:36:21.542000Z,2025-07-07T07:41:57.750000Z,2025-07-07T07:43:08.609000Z,2025-07-07T07:41:58.139449Z,337.0,CP2ZDXDH,1836,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b78f2bd032d657b4bb789,632c673f8b99c86ac2fba537,APPROVED,Not Applicable,2025-07-07T07:36:21.274000Z,2025-07-07T07:41:09.647000Z,2025-07-07T07:41:16.161000Z,2025-07-07T07:41:10.067224Z,289.0,CP2ZDXDH,2707,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b78f35cfa51cb54ce1910,5ba3be96258e340001cebb06,APPROVED,Not Applicable,2025-07-07T07:36:28.536000Z,2025-07-07T07:40:19.413000Z,2025-07-07T07:40:25.111000Z,2025-07-07T07:40:19.859868Z,231.0,CP2ZDXDH,2406,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b78f3d06bf9e3a7bf3d8b,6064f5067f2edbc49dca190d,APPROVED,Not Applicable,2025-07-07T07:36:24.433000Z,2025-07-07T07:39:22.028000Z,2025-07-21T15:20:45.141000Z,2025-07-07T07:39:22.447718Z,178.0,CP2ZDXDH,581,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b78f4dedc5064a69e83ec,672df806e7c2f55e8e2bf477,APPROVED,Not Applicable,2025-07-07T07:45:29.035000Z,2025-07-07T08:02:02.907000Z,2025-07-07T08:02:06.049000Z,2025-07-07T08:02:03.377821Z,994.0,CP2ZDXDH,1789,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
686b78f699d465520674a001,5b54d7a3184c610001757ac0,APPROVED,Not Applicable,2025-07-07T07:36:31.147000Z,2025-07-07T07:39:01.681000Z,2025-07-21T15:20:45.376000Z,2025-07-07T07:39:02.087140Z,151.0,CP2ZDXDH,1034,28,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b78f7f3811fa1ecbf4240,67913bb270c5970717520975,APPROVED,Not Applicable,2025-07-07T07:36:27.591000Z,2025-07-07T07:39:17.203000Z,2025-07-21T15:20:45.612000Z,2025-07-07T07:39:17.640219Z,170.0,CP2ZDXDH,463,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
