Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
686b793138cbd11963b1c1a8,66a65fa27457d9821eea23b6,APPROVED,Not Applicable,2025-07-07T07:37:25.745000Z,2025-07-07T07:40:44.253000Z,2025-07-07T07:40:46.676000Z,2025-07-07T07:40:45.049608Z,199.0,CP2ZDXDH,80,28,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
686b7948bf28b963d75205d3,66b73f9ba035651170b94c76,APPROVED,Not Applicable,2025-07-07T07:37:53.504000Z,2025-07-07T07:41:30.823000Z,2025-07-07T07:41:31.355000Z,2025-07-07T07:41:31.253624Z,218.0,CP2ZDXDH,1253,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
686b796afcbbb8075e82edaf,65ba6a143395d20859b4de80,APPROVED,Not Applicable,2025-07-07T07:38:34.181000Z,2025-07-07T07:44:17.443000Z,2025-07-07T07:44:23.052000Z,2025-07-07T07:44:17.926580Z,344.0,CP2ZDXDH,1309,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b796b1f0512ee637ead69,6151556ef73ba765c7ff55f6,APPROVED,Not Applicable,2025-07-07T07:38:23.284000Z,2025-07-07T07:42:32.971000Z,2025-07-07T07:42:58.638000Z,2025-07-07T07:42:33.387443Z,250.0,CP2ZDXDH,3557,43,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b796d101c9a012c571122,5f0db498f5e4e102c0f65b67,APPROVED,Not Applicable,2025-07-07T07:38:24.399000Z,2025-07-07T07:43:23.471000Z,2025-07-07T07:44:04.205000Z,2025-07-07T07:43:23.907703Z,300.0,CP2ZDXDH,1885,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b796ff853ed526640743e,5ac3be251667e40001d85279,APPROVED,Not Applicable,2025-07-07T07:38:28.231000Z,2025-07-07T07:41:58.096000Z,2025-07-07T07:42:38.842000Z,2025-07-07T07:41:58.522296Z,210.0,CP2ZDXDH,871,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b796ffc053fb9bdf63adb,5a8edb14b093f80001a83682,APPROVED,Not Applicable,2025-07-07T07:38:28.372000Z,2025-07-07T07:42:45.306000Z,2025-07-07T07:42:54.043000Z,2025-07-07T07:42:45.742393Z,257.0,CP2ZDXDH,3543,58,Female,Black,Jamaica,United Kingdom,United Kingdom,English,No,Full-Time
686b79725d88b5618e27fe28,5ef300561f16070008a1ad45,APPROVED,Not Applicable,2025-07-07T07:38:30.378000Z,2025-07-07T07:40:45.156000Z,2025-07-21T15:20:33.095000Z,2025-07-07T07:40:45.714847Z,135.0,CP2ZDXDH,1946,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
686b7972abecda2ec83fa627,5f0f624774af6210bf4503e9,APPROVED,Not Applicable,2025-07-07T07:38:28.271000Z,2025-07-07T07:41:58.929000Z,2025-07-07T07:42:14.526000Z,2025-07-07T07:41:59.334997Z,211.0,CP2ZDXDH,528,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b7974b61fafedaadf45b8,5ecd49233f464e08bf0e4c50,APPROVED,Not Applicable,2025-07-07T07:38:32.573000Z,2025-07-07T07:41:03.660000Z,2025-07-21T15:20:33.389000Z,2025-07-07T07:41:04.077911Z,152.0,CP2ZDXDH,3575,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
